customer_id|loan_type|amount_utilized|utilization_date|loan_reason
CUST026688|Top-Up Loan|172000|2025-03-02|Let me know if we could spend a lazy Sunday just binge-watching old shows
CUST037961|Credit Card Loan|838000|2025-01-18|You should definitely join we could go on a spontaneous road trip without much planning
CUST051615|Loan Against Deposit|968000|2025-04-12|Let me know if we could go on a spontaneous road trip without much planning
CUST003387|Auto Loan|627000|2024-11-08|I am writing to follow up that there are no pending items before the closure of this phase
CUST078576|Education Loan|728000|2025-04-03|Thinking we should we could book tickets for that concert happening next month
CUST068340|Auto Loan|94000|2024-08-30|It would be awesome if we could go on a spontaneous road trip without much planning
CUST066754|Top-Up Loan|389000|2025-03-07|It would be awesome if we could go on a spontaneous road trip without much planning
CUST087498|Travel Loan|687000|2025-01-24|The requested documents have been prepared and that the project deliverables are submitted by the upcoming deadline
CUST034490|Loan Against Deposit|459000|2024-12-16|We seriously need to we could host a small get-together at my place this weekend
CUST018168|Travel Loan|45000|2024-05-02|It would be awesome if we could grab dinner sometime this week and catch up properly
CUST090613|Credit Card Loan|311000|2024-05-05|I finally got time to we could grab dinner sometime this week and catch up properly
CUST054314|Home Loan|933000|2024-08-22|I finally got time to we could book tickets for that concert happening next month
CUST008226|Loan Against Deposit|964000|2024-05-04|I am writing to follow up that there are no pending items before the closure of this phase
CUST044901|Travel Loan|112000|2025-04-18|You should definitely join we could go on a spontaneous road trip without much planning
CUST019829|Medical Loan|926000|2024-05-19|Thinking we should we could go for a hike if the weather stays good
CUST053205|Loan Against Deposit|386000|2024-04-30|Hey I was thinking we could try that new pizza place everyone keeps recommending
CUST047289|Travel Loan|870000|2024-07-16|We are awaiting your confirmation that the scheduled timeline for the project remains unchanged
CUST048737|Education Loan|814000|2024-07-28|We are awaiting your confirmation that we maintain open communication during the implementation period
CUST003033|Travel Loan|178000|2025-01-16|We seriously need to we could go for a hike if the weather stays good
CUST013329|Top-Up Loan|331000|2024-11-11|Let me know if we could grab dinner sometime this week and catch up properly
CUST097770|Personal Loan|222000|2024-11-12|Thank you for your attention that all compliance requirements have been successfully met
CUST090949|Loan Against Deposit|635000|2024-12-06|I am writing to follow up that there are no pending items before the closure of this phase
CUST023439|Personal Loan|497000|2024-06-20|Maybe we can plan something we could check out that new movie you mentioned last month
CUST085048|Auto Loan|702000|2024-12-23|Maybe we can plan something we could hang out by the beach before it gets colder again
CUST005314|Personal Loan|541000|2024-05-16|Let me know if we could grab dinner sometime this week and catch up properly
CUST073797|Credit Card Loan|487000|2025-04-23|I am writing to follow up that the updated policy guidelines have been distributed to all departments
CUST059022|Credit Card Loan|581000|2024-07-13|You should definitely join we could spend a lazy Sunday just binge-watching old shows
CUST010537|Auto Loan|899000|2024-11-14|Thinking we should we could check out that new movie you mentioned last month
CUST007326|Education Loan|807000|2024-12-02|Thinking we should we could check out that new movie you mentioned last month
CUST001150|Loan Against Deposit|740000|2024-11-21|We seriously need to we could start working on that project idea we joked about earlier
CUST056302|Top-Up Loan|426000|2024-09-12|We seriously need to we could start working on that project idea we joked about earlier
CUST039812|Business Loan|153000|2024-07-21|I would like to inform you that the updated policy guidelines have been distributed to all departments
CUST017005|Auto Loan|785000|2025-01-25|We are awaiting your confirmation that there are no pending items before the closure of this phase
CUST027473|Personal Loan|624000|2024-06-08|The requested documents have been prepared and that the revised contract terms are reviewed and accepted
CUST033380|Top-Up Loan|808000|2024-06-11|Please do not hesitate to reach out that your comments are incorporated into the final version of the agreement
CUST057971|Home Loan|185000|2024-06-26|Thank you for your attention that the invoice details are correctly reflected in your records
CUST092191|Medical Loan|947000|2025-02-19|The requested documents have been prepared and that your comments are incorporated into the final version of the agreement
CUST013800|Business Loan|886000|2024-12-18|Maybe we can plan something we could go for a hike if the weather stays good
CUST012929|Business Loan|879000|2024-09-18|Thank you for your attention that we maintain open communication during the implementation period
CUST083848|Education Loan|470000|2024-11-11|We should arrange a meeting that there are no pending items before the closure of this phase
CUST047384|Personal Loan|504000|2025-02-19|Let me know if we could hang out by the beach before it gets colder again
CUST045632|Top-Up Loan|373000|2024-11-04|Maybe we can plan something we could go on a spontaneous road trip without much planning
CUST001578|Education Loan|388000|2024-08-12|I finally got time to we could start working on that project idea we joked about earlier
CUST037066|Loan Against Deposit|647000|2025-01-02|You should definitely join we could grab dinner sometime this week and catch up properly
CUST032654|Home Loan|765000|2025-02-20|Just wanted to say we could go for a hike if the weather stays good
CUST097267|Top-Up Loan|230000|2025-04-05|Maybe we can plan something we could start working on that project idea we joked about earlier
CUST055361|Business Loan|823000|2024-07-08|It would be greatly appreciated if that your comments are incorporated into the final version of the agreement
CUST079322|Travel Loan|101000|2025-04-11|It would be awesome if we could try that new pizza place everyone keeps recommending
CUST077342|Travel Loan|830000|2025-04-20|It has been way too long since we could go on a spontaneous road trip without much planning
CUST076881|Medical Loan|330000|2025-02-13|Just wanted to say we could go on a spontaneous road trip without much planning
CUST036641|Travel Loan|583000|2024-10-26|It would be awesome if we could start working on that project idea we joked about earlier
CUST056069|Auto Loan|816000|2024-09-17|It has been way too long since we could spend a lazy Sunday just binge-watching old shows
CUST076019|Top-Up Loan|320000|2025-02-16|Please ensure that that the invoice details are correctly reflected in your records
CUST087490|Credit Card Loan|340000|2025-02-15|Hey I was thinking we could go for a hike if the weather stays good
CUST061559|Travel Loan|366000|2024-07-30|I finally got time to we could grab dinner sometime this week and catch up properly
CUST048939|Home Loan|42000|2025-03-23|Thinking we should we could host a small get-together at my place this weekend
